Team,Group Stage,Round of 32,Round of 16,Quarterfinal,Semifinal,Finalist,Champion
Argentina,1.0,1.0,0.92,0.82,0.68,0.48,0.34
Spain,1.0,0.98,0.81,0.64,0.5,0.42,0.25
Brazil,1.0,0.97,0.81,0.61,0.43,0.25,0.09
France,1.0,0.97,0.84,0.39,0.25,0.16,0.08
Mexico,1.0,0.96,0.62,0.41,0.2,0.11,0.07
Colombia,1.0,0.94,0.71,0.43,0.18,0.1,0.06
England,1.0,0.94,0.71,0.45,0.27,0.11,0.04
Morocco,1.0,0.88,0.72,0.49,0.18,0.06,0.02
Croatia,1.0,0.84,0.47,0.24,0.11,0.04,0.01
Japan,1.0,0.88,0.53,0.26,0.1,0.02,0.01
Ecuador,1.0,0.94,0.4,0.21,0.12,0.03,0.01
Germany,1.0,0.91,0.62,0.3,0.12,0.07,0.01
Norway,1.0,0.77,0.44,0.15,0.08,0.02,0.01
New Zealand,1.0,0.21,0.04,0.01,0.0,0.0,0.0
Austria,1.0,0.54,0.23,0.1,0.03,0.01,0.0
Uzbekistan,1.0,0.29,0.06,0.01,0.0,0.0,0.0
Jordan,1.0,0.35,0.05,0.0,0.0,0.0,0.0
Iraq,1.0,0.35,0.08,0.01,0.0,0.0,0.0
Senegal,1.0,0.63,0.27,0.07,0.02,0.0,0.0
Portugal,1.0,0.92,0.59,0.28,0.12,0.02,0.0
Ghana,1.0,0.3,0.05,0.0,0.0,0.0,0.0
DR Congo,1.0,0.49,0.08,0.01,0.01,0.0,0.0
Uruguay,1.0,0.75,0.29,0.14,0.04,0.01,0.0
Saudi Arabia,1.0,0.49,0.14,0.01,0.0,0.0,0.0
Cape Verde,1.0,0.31,0.05,0.0,0.0,0.0,0.0
Algeria,1.0,0.65,0.21,0.09,0.03,0.01,0.0
Belgium,1.0,0.95,0.53,0.17,0.03,0.01,0.0
Iran,1.0,0.79,0.27,0.11,0.02,0.01,0.0
United States,1.0,0.49,0.16,0.03,0.0,0.0,0.0
South Korea,1.0,0.87,0.33,0.17,0.05,0.01,0.0
Czechia,1.0,0.36,0.1,0.02,0.0,0.0,0.0
Canada,1.0,0.84,0.21,0.02,0.0,0.0,0.0
Bosnia and Herzzegovina,1.0,0.67,0.1,0.0,0.0,0.0,0.0
Qatar,1.0,0.33,0.04,0.0,0.0,0.0,0.0
Switzerland,1.0,0.86,0.49,0.2,0.08,0.01,0.0
Haiti,1.0,0.3,0.05,0.0,0.0,0.0,0.0
Scotland,1.0,0.49,0.24,0.09,0.03,0.0,0.0
Paraguay,1.0,0.76,0.2,0.08,0.03,0.0,0.0
Egypt,1.0,0.82,0.32,0.04,0.0,0.0,0.0
Australia,1.0,0.75,0.31,0.1,0.02,0.0,0.0
Turkey,1.0,0.81,0.34,0.12,0.02,0.01,0.0
Curacao,1.0,0.13,0.01,0.0,0.0,0.0,0.0
Ivory Coast,1.0,0.77,0.28,0.07,0.02,0.01,0.0
Netherlands,1.0,0.86,0.66,0.45,0.18,0.02,0.0
Sweden,1.0,0.57,0.29,0.14,0.04,0.0,0.0
Tunisia,1.0,0.41,0.08,0.01,0.0,0.0,0.0
South Africa,1.0,0.44,0.11,0.04,0.01,0.0,0.0
Panama,1.0,0.47,0.14,0.01,0.0,0.0,0.0
