FeatureName,DataType,MissingCount,MissingPercentage,UniqueCount,Mean,StdDev,Skewness,Kurtosis
home_elo_before,float64,0,0.0,34033,1563.4467860535624,170.68021287142096,-0.025154329479571677,0.24972153668808916
away_elo_before,float64,0,0.0,33804,1555.1372693279436,169.41646283709795,-0.11061134206752052,0.30616677253786007
elo_diff,float64,0,0.0,34559,8.309516725619,185.95469625865576,-0.029058377796462455,1.110153925602876
home_fifa_rank,float64,49475,100.0,0,,,,
away_fifa_rank,float64,49475,100.0,0,,,,
fifa_rank_diff,float64,49475,100.0,0,,,,
home_overall_win_pct,float64,141,0.2849924204143507,21500,0.3773197237131037,0.13656960149222297,-0.11124695830852795,0.919746911332985
home_draw_pct,float64,141,0.2849924204143507,14654,0.20697521417675951,0.06578646124669364,0.053493446686953404,10.46985876054043
home_loss_pct,float64,141,0.2849924204143507,21811,0.41570506211013675,0.1572752328115233,0.9664980622661464,1.3633306731950312
home_avg_goals_scored,float64,141,0.2849924204143507,31447,1.5904787300583427,0.5734403528617296,2.1526150519433727,27.368956305153425
home_avg_goals_conceded,float64,141,0.2849924204143507,31213,1.7222700113864726,0.8011383303204551,4.780309087898526,63.199117106017496
home_avg_goal_diff,float64,141,0.2849924204143507,34961,-0.13179128132813,1.1177077316046753,-2.230626092262595,25.871328446298484
home_games_played,float64,141,0.2849924204143507,660,122.71731463088337,116.3456762145618,1.3796656086283108,1.8668229363115807
away_overall_win_pct,float64,195,0.39413845376452755,20944,0.3685521481686333,0.13835493456044723,-0.13372859951571545,0.7285285884689916
away_draw_pct,float64,195,0.39413845376452755,14283,0.20678017753815023,0.06803196140192097,0.12960669873958003,10.616561191955663
away_loss_pct,float64,195,0.39413845376452755,21509,0.4246676742932164,0.1628306938375168,0.9560841962829353,1.2054245788037452
away_avg_goals_scored,float64,195,0.39413845376452755,30678,1.563986830998538,0.5707934573195566,2.0585572512125356,36.096148372064405
away_avg_goals_conceded,float64,195,0.39413845376452755,30887,1.7654284527187325,0.8591104460558686,4.104222149579024,37.955020010174806
away_avg_goal_diff,float64,195,0.39413845376452755,34550,-0.20144162172019422,1.1772741638920963,-2.1473469801998655,18.822030568256753
away_games_played,float64,195,0.39413845376452755,638,115.42761769480519,109.80918661428133,1.4239043891541605,2.13721728241617
home_home_win_pct,float64,327,0.6609398686205155,12904,0.4806095323873392,0.15649403187187894,-0.42611260095286857,1.0439004473222404
away_away_win_pct,float64,321,0.6488125315816069,11410,0.26466579312001753,0.13428981036292217,0.4508534246750587,1.4554545200775086
home_form,float64,141,0.2849924204143507,28,0.4661367188731683,0.23974206171064716,0.050278869654748884,-0.603025153207231
away_form,float64,195,0.39413845376452755,28,0.4575632440476189,0.23931342458296959,0.05446740131302099,-0.6086514401630128
home_rest_days,float64,0,0.0,366,52.226376958059625,85.76543569727967,2.4861091951689467,5.662917154541201
away_rest_days,float64,0,0.0,366,51.529742294087924,85.81629573019032,2.5016324198158615,5.739963916754819
is_neutral,int64,0,0.0,2,0.2652046488125316,0.4414465787843624,1.0637973169587032,-0.8683703734663073
tournament_importance,float64,0,0.0,8,0.4242415361293584,0.20091371774992292,0.4319044539496863,-0.37397507454155576
year,int64,0,0.0,155,1993.8589186457807,25.438784783805666,-1.1730038120629476,1.2556288071249724
month,int64,0,0.0,12,6.902213239009601,3.2316691858624798,-0.14867830621328104,-1.1411417083630562
result,int64,0,0.0,3,0.7925012632642748,0.8541140515923633,0.41015130653323667,-1.5073645012233319
