Feature,Importance_Mean,Importance_Std
elo_win_prob,0.1064578069732188,0.002021829115742288
goal_conceded_avg_diff,0.01018696311268319,0.0018857045036387305
away_games_played,0.006710459828196069,0.0024833912163165334
home_avg_goal_diff,0.005214754926730692,0.0005809038044749682
games_played_diff,0.005194542698332505,0.0008637033095188214
home_elo_before,0.003355229914098046,0.0013244794280267377
home_draw_pct,0.0028701364325417035,0.00112282521777314
away_avg_goals_scored,0.002748863062152629,0.0005400864766402199
win_pct_diff,0.0021829206670035627,0.0012904205921788771
away_away_win_pct,0.0013137948458817883,0.0006486834375293021
form_diff,0.0011318847902981543,0.0008980236439220943
away_elo_before,0.0008893380495200054,0.0006925453946038134
away_avg_goal_diff,0.0007074279939363714,0.0005270704319517185
home_avg_goals_scored,0.00028297119757454415,0.0015530569145870295
away_draw_pct,0.00020212228398182043,0.0011593435391369473
