bin_idx,bin_range,count,mean_confidence,accuracy,deviation
0,"[0.00, 0.10)",0,0.0,0.0,0.0
1,"[0.10, 0.20)",0,0.0,0.0,0.0
2,"[0.20, 0.30)",0,0.0,0.0,0.0
3,"[0.30, 0.40)",48,0.37458463735573444,0.20833333333333334,-0.1662513040224011
4,"[0.40, 0.50)",92,0.44688613711371344,0.6086956521739131,0.16180951506019964
5,"[0.50, 0.60)",58,0.5422846975963483,0.6896551724137931,0.1473704748174448
6,"[0.60, 0.70)",34,0.6485183582692384,0.7352941176470589,0.08677575937782045
7,"[0.70, 0.80)",20,0.7431408234746258,0.8,0.0568591765253742
8,"[0.80, 0.90)",4,0.8293603174588062,0.75,-0.07936031745880623
9,"[0.90, 1.00)",0,0.0,0.0,0.0
